cp1x,cp1y,cp2x,cp2y,cp3x,cp3y,cp4x,cp4y,angleX,angleY,angleZ
0,0,476,0,501,44,-25,44,-85.0,0,0
0,0,477,0,501,87,-25,87,-80.0,0,0
0,0,477,0,501,130,-24,130,-75.0,0,0
0,0,478,0,501,171,-24,171,-70.0,0,0
0,0,478,0,501,212,-23,212,-65.0,0,0
0,0,479,0,501,250,-22,250,-60.0,0,0
0,0,480,0,501,287,-21,287,-55.0,0,0
0,0,482,0,501,322,-19,322,-50.0,0,0
0,0,483,0,501,354,-18,354,-45.0,0,0
0,0,484,0,501,383,-16,383,-40.0,0,0
0,0,486,0,500,410,-14,410,-35.0,0,0
0,0,488,0,500,433,-13,433,-30.0,0,0
0,0,490,0,500,453,-11,453,-25.0,0,0
0,0,492,0,500,470,-9,470,-20.0,0,0
0,0,494,0,500,483,-6,483,-15.0,0,0
0,0,496,0,500,492,-4,492,-10.0,0,0
0,0,498,0,500,498,-2,498,-5.0,0,0
0,0,500,0,500,500,0,500,0.0,0,0
0,0,502,0,500,498,2,498,5.0,0,0
0,0,504,0,500,492,4,492,10.0,0,0
0,0,507,0,500,483,6,483,15.0,0,0
0,0,509,0,500,470,9,470,20.0,0,0
0,0,511,0,500,453,11,453,25.0,0,0
0,0,513,0,500,433,13,433,30.0,0,0
0,0,515,0,500,410,14,410,35.0,0,0
0,0,517,0,501,383,16,383,40.0,0,0
0,0,518,0,501,354,18,354,45.0,0,0
0,0,520,0,501,322,19,322,50.0,0,0
0,0,521,0,501,287,21,287,55.0,0,0
0,0,523,0,501,250,22,250,60.0,0,0
0,0,524,0,501,212,23,212,65.0,0,0
0,0,525,0,501,171,24,171,70.0,0,0
0,0,525,0,501,130,24,130,75.0,0,0
0,0,526,0,501,87,25,87,80.0,0,0
0,0,526,0,501,44,25,44,85.0,0,0
0,0,44,25,44,501,0,526,0,-85.0,0
0,0,87,25,87,501,0,526,0,-80.0,0
0,0,130,24,130,501,0,525,0,-75.0,0
0,0,171,24,171,501,0,525,0,-70.0,0
0,0,212,23,212,501,0,524,0,-65.0,0
